website_id,category,scenario,technical_score,technical_norm,demographic_score,demographic_norm,final_score,rank,baseline_a_rank,baseline_b_rank,baseline_c_rank,stability_status,top_issue_1,top_issue_2,top_issue_3
W04,melihat,S2,0.6974198350182967,0.1735319921999732,0.004199927431,0.4047363389702019,0.289134165585,19,22,14,20,,SC 4.1.2,SC 2.4.4,SC 1.4.3
W09,melihat,S2,0.982737456581347,0.434752280949768,0.00309982604,0.1428127995474377,0.288782540249,20,5,11,24,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W25,melihat,S2,0.8512191036083008,0.3143416944906885,0.003599924798,0.2618814943313065,0.288111594411,21,8,9,16,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W03,melihat,S2,0.5235067915400359,0.0143072826083585,0.004700031911,0.5238063961071272,0.269056839358,22,25,28,9,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W27,melihat,S2,0.5078796751916681,0.0,0.004699971818,0.5237920885429488,0.261896044271,23,17,21,7,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W16,melihat,S2,1.0742314292211954,0.5185188629818052,0.0025,0.0,0.259259431491,24,28,23,30,,SC 1.3.1,SC 1.4.4,SC 3.1.1
W22,melihat,S2,0.6974198350182967,0.1735319921999732,0.003700054996,0.2857215295115385,0.229626760856,25,16,14,23,,SC 1.4.3,SC 1.3.1,SC 4.1.2
W10,melihat,S2,0.8066572723743852,0.2735434628274167,0.003099825672,0.1428127119301842,0.208178087379,26,7,26,29,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W15,melihat,S2,0.6974198350182967,0.1735319921999732,0.0035,0.2380903629116165,0.205811177556,27,29,23,18,,SC 1.3.1,SC 2.2.1,SC 1.4.3
W02,melihat,S2,0.5457877071569939,0.0347063984399946,0.003800015878,0.3095212521838837,0.172113825312,28,24,20,26,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W12,melihat,S2,0.6974198350182967,0.1735319921999732,0.003100000405,0.1428543141735669,0.158193153187,29,21,29,27,,SC 1.3.1,SC 1.4.3,No dominant issue
W05,melihat,S2,0.6327442288961241,0.1143187532358018,0.003200132191,0.1666947274412952,0.140506740339,30,9,18,28,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W01,melihat,S3,1.3044765870161297,0.729317993694255,0.005900072117,0.8095244042621984,0.785462481092,1,2,3,5,,SC 1.4.3,SC 1.1.1,SC 4.1.2
W33,melihat,S3,0.5457877071569939,0.0347063984399946,0.006700086,1.0,0.710411919532,2,15,13,1,,SC 4.1.2,SC 2.4.4,SC 1.1.1
W19,melihat,S3,1.088724182844384,0.5317875887811064,0.005599948777,0.738067929323352,0.676183827161,3,23,5,3,,SC 4.1.2,SC 2.4.4,SC 1.4.3
W18,melihat,S3,0.6550251445130822,0.1347178690674381,0.005999963462,0.833307570844978,0.623730660312,4,6,17,4,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W29,melihat,S3,0.9646390877914196,0.4181824627404836,0.005400352142,0.6905458940602645,0.608836864664,5,26,6,6,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W20,melihat,S3,1.2436070217987385,0.67358934533719,0.004900025264,0.5714228861028083,0.602072823873,6,18,10,14,,SC 1.4.3,SC 1.3.1,SC 1.1.1
W32,melihat,S3,0.8849181419396025,0.3451945821436433,0.005399833245,0.6904223496852206,0.586854019423,7,4,22,11,,SC 1.4.3,SC 1.1.1,SC 1.3.1
W31,melihat,S3,1.286909202484097,0.7132343139169715,0.004299835255,0.428523429044072,0.513936694506,8,12,4,25,,SC 1.3.1,SC 4.1.2,SC 1.4.3
W24,melihat,S3,0.6104633132791664,0.0939196374041659,0.00539983512,0.6904227961046511,0.511471848495,9,29,29,8,,SC 1.3.1,SC 3.1.1,No dominant issue
W34,melihat,S3,0.8066572723743852,0.2735434628274167,0.004800135215,0.5476400280851391,0.465411058508,10,13,8,12,,SC 1.4.3,SC 1.1.1,SC 4.1.2
W17,melihat,S3,1.600128760929173,1.0,0.003399922992,0.2142629917577878,0.44998409423,11,19,2,19,,SC 1.4.3,SC 1.3.1,SC 4.1.2
W03,melihat,S3,0.5235067915400359,0.0143072826083585,0.004700031911,0.5238063961071272,0.370956662057,12,25,28,9,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W27,melihat,S3,0.5078796751916681,0.0,0.004699971818,0.5237920885429488,0.36665446198,13,17,21,7,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W14,melihat,S3,0.7318489114928984,0.2050532604932349,0.00429995481,0.4285518939374098,0.361502303904,14,27,25,2,,SC 1.3.1,SC 4.1.2,SC 1.4.3
W21,melihat,S3,0.6974198350182967,0.1735319921999732,0.004300098501,0.4285861053797469,0.352069871426,15,10,14,21,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W06,melihat,S3,0.6974198350182967,0.1735319921999732,0.004299988449,0.4285599030591277,0.352051529801,16,14,19,17,,SC 4.1.2,SC 1.4.3,SC 2.4.4
W13,melihat,S3,1.1624476015088834,0.5992844808611032,0.003499989199,0.2380877912976066,0.346446798167,17,1,1,13,,SC 1.3.1,SC 4.1.2,SC 1.1.1
W04,melihat,S3,0.6974198350182967,0.1735319921999732,0.004199927431,0.4047363389702019,0.335375034939,18,22,14,20,,SC 4.1.2,SC 2.4.4,SC 1.4.3
W11,melihat,S3,0.9332860140782996,0.3894774044140215,0.0038,0.3095174717851015,0.333505451574,19,11,27,15,,SC 1.1.1,SC 4.1.2,SC 1.3.1
W23,melihat,S3,0.7419816662522126,0.2143302238632453,0.004099953365,0.380933477314512,0.330952501279,20,20,12,10,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W08,melihat,S3,0.9271353804079736,0.3838462404692397,0.003499989103,0.2380877684409318,0.281815310049,21,3,7,22,,SC 1.3.1,SC 1.1.1,SC 1.4.3
W25,melihat,S3,0.8512191036083008,0.3143416944906885,0.003599924798,0.2618814943313065,0.277619554379,22,8,9,16,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W22,melihat,S3,0.6974198350182967,0.1735319921999732,0.003700054996,0.2857215295115385,0.252064668318,23,16,14,23,,SC 1.4.3,SC 1.3.1,SC 4.1.2
W09,melihat,S3,0.982737456581347,0.434752280949768,0.00309982604,0.1428127995474377,0.230394643968,24,5,11,24,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W02,melihat,S3,0.5457877071569939,0.0347063984399946,0.003800015878,0.3095212521838837,0.227076796061,25,24,20,26,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W15,melihat,S3,0.6974198350182967,0.1735319921999732,0.0035,0.2380903629116165,0.218722851698,26,29,23,18,,SC 1.3.1,SC 2.2.1,SC 1.4.3
W10,melihat,S3,0.8066572723743852,0.2735434628274167,0.003099825672,0.1428127119301842,0.182031937199,27,7,26,29,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W16,melihat,S3,1.0742314292211954,0.5185188629818052,0.0025,0.0,0.155555658895,28,28,23,30,,SC 1.3.1,SC 1.4.4,SC 3.1.1
W12,melihat,S3,0.6974198350182967,0.1735319921999732,0.003100000405,0.1428543141735669,0.152057617581,29,21,29,27,,SC 1.3.1,SC 1.4.3,No dominant issue
W05,melihat,S3,0.6327442288961241,0.1143187532358018,0.003200132191,0.1666947274412952,0.15098193518,30,9,18,28,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W13,tangan,S1,1.5051110808232249,1.0,0.003600009721,0.6428166857361967,0.892845005721,1,1,1,13,,SC 1.3.1,SC 4.1.2,SC 1.1.1
W33,tangan,S1,1.0568352187542591,0.702164266956443,0.004600099579,1.0,0.79151498687,2,15,13,1,,SC 4.1.2,SC 2.4.4,SC 1.1.1
W23,tangan,S1,0.8499386670301213,0.5647016209363397,0.003799937821,0.7142212508372509,0.609557509907,3,20,12,10,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W29,tangan,S1,1.0568352187542591,0.702164266956443,0.002800368911,0.3572239937879173,0.598682185006,4,26,6,6,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W01,tangan,S1,0.8499386670301213,0.5647016209363397,0.003299987056,0.5356632244929582,0.555990102003,5,2,3,5,,SC 1.4.3,SC 1.1.1,SC 4.1.2
W27,tangan,S1,0.8499386670301213,0.5647016209363397,0.003299984825,0.5356624276885833,0.555989862962,6,17,21,7,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W34,tangan,S1,0.9740765980646042,0.6471792085484017,0.002700076058,0.3214042788443503,0.549446729637,7,13,8,12,,SC 1.4.3,SC 1.1.1,SC 4.1.2
W17,tangan,S1,0.8499386670301213,0.5647016209363397,0.003100043034,0.4642529728301573,0.534567026504,8,19,2,19,,SC 1.4.3,SC 1.3.1,SC 4.1.2
W19,tangan,S1,0.8499386670301213,0.5647016209363397,0.003000018294,0.4285290147720052,0.523849839087,9,23,5,3,,SC 4.1.2,SC 2.4.4,SC 1.4.3
W18,tangan,S1,0.8499386670301213,0.5647016209363397,0.002999981731,0.4285159562518984,0.523845921531,10,6,17,4,,SC 4.1.2,SC 2.4.4,SC 1.3.1
W25,tangan,S1,0.8499386670301213,0.5647016209363397,0.002999811995,0.428455334832188,0.523827735105,11,8,9,16,,SC 1.3.1,SC 1.4.3,SC 4.1.2
W04,tangan,S1,0.8499386670301213,0.5647016209363397,0.002900036284,0.3928203177855424,0.513137229991,12,22,14,20,,SC 4.1.2,SC 2.4.4,SC 1.4.3
W22,tangan,S1,0.8499386670301213,0.5647016209363397,0.002800028694,0.3571024848708367,0.502421880117,13,16,14,23,,SC 1.4.3,SC 1.3.1,SC 4.1.2
W14,tangan,S1,0.4361455635818455,0.2897763288961333,0.004399904304,0.9285000130213764,0.481393434134,14,27,25,2,,SC 1.3.1,SC 4.1.2,SC 1.4.3
W21,tangan,S1,0.8499386670301213,0.5647016209363397,0.002600051074,0.2856802336413003,0.480995204748,15,10,14,21,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W02,tangan,S1,0.8499386670301213,0.5647016209363397,0.0025,0.2499468703628847,0.470275195764,16,24,20,26,,SC 1.4.3,SC 4.1.2,SC 2.4.4
W08,tangan,S1,0.7765026577620283,0.5159105315584535,0.002799947693,0.3570735552647546,0.46825943867,17,3,7,22,,SC 1.3.1,SC 1.1.1,SC 1.4.3
W06,tangan,S1,0.7982145290990869,0.530335959431314,0.002599976897,0.2856537412351527,0.456931293972,18,14,19,17,,SC 4.1.2,SC 1.4.3,SC 2.4.4
W05,tangan,S1,0.8499386670301213,0.5647016209363397,0.002300129437,0.1785628546716544,0.448859991057,19,9,18,28,,SC 4.1.2,SC 2.4.4,SC 1.3.1
