page_id,website_id,page_url,page_type,selection_reason,http_status,render_status,tested_at
P150,W30,https://dinsosp3apmd.sulbarprov.go.id/,Interaksi/Kontak,ada di sidebarnya,,"error: Message: unknown error: net::ERR_CONNECTION_REFUSED
  (Session info: chrome=151.0.7922.71)
Stacktrac",2026-08-02T07:38:21.766814+00:00
P151,W31,https://dinsos.malukuprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,rendered,2026-08-02T06:39:44.154548+00:00
P152,W31,https://dinsos.malukuprov.go.id/,Profil,"Auto-dipilih (link: ""PROFIL"", keyword: profil) - REVIEW",,rendered,2026-08-02T06:39:54.997145+00:00
P153,W31,https://dinsos.malukuprov.go.id/halaman/detail/moto-pelayanan,Layanan,"Auto-dipilih (link: ""Motto dan Maklumat"", keyword: layanan) - REVIEW",,rendered,2026-08-02T06:40:01.729839+00:00
P154,W31,https://dinsos.malukuprov.go.id/berita,Konten,"Auto-dipilih (link: ""Berita & Kegiatan"", keyword: berita) - REVIEW",,rendered,2026-08-02T06:40:10.840996+00:00
P155,W31,https://dinsos.malukuprov.go.id/aduan,Interaksi/Kontak,"Auto-dipilih (link: ""Form Pengaduan internal"", keyword: pengaduan) - REVIEW",,rendered,2026-08-02T06:40:18.916142+00:00
P156,W32,https://malutprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,rendered,2026-08-02T06:40:22.147076+00:00
P157,W32,https://malutprov.go.id/pages/tentang-maluku-utara,Profil,"Auto-dipilih (link: ""Tentang"", keyword: tentang) - REVIEW",,rendered,2026-08-02T06:40:31.065073+00:00
P158,W32,https://malutprov.go.id/sinergi-pemprov-malut-dan-ombudsman-ri-dorong-pelayanan-publik-bebas-maladministrasi,Layanan,"Auto-dipilih (link: ""Sekprov30 Jul 2026Sinergi Pemprov Malut dan Ombudsman RI Dorong Pelayanan Publik"", keyword: layanan) - REVIEW",,rendered,2026-08-02T06:40:36.046392+00:00
P159,W32,https://malutprov.go.id/pages/informasi-berkala,Konten,"Auto-dipilih (link: ""Informasi Berkala"", keyword: informasi) - REVIEW",,rendered,2026-08-02T06:40:41.662854+00:00
P160,W32,https://malutprov.go.id/kontak,Interaksi/Kontak,"Auto-dipilih (link: ""Hubungi Kami"", keyword: kontak) - REVIEW",,rendered,2026-08-02T06:40:46.255180+00:00
P161,W33,https://dinsosdukcapil.papua.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,rendered,2026-08-02T06:40:50.761282+00:00
P162,W33,https://dinsosdukcapil.papua.go.id/pages/visi-misi,Profil,"Auto-dipilih (link: ""Visi Misi"", keyword: visi) - REVIEW",,rendered,2026-08-02T06:41:06.011503+00:00
P163,W33,https://dinsosdukcapil.papua.go.id/pages/sub-bagian-program,Layanan,"Auto-dipilih (link: ""Sub Bagian Program"", keyword: program) - REVIEW",,rendered,2026-08-02T06:41:10.449736+00:00
P164,W33,https://dinsosdukcapil.papua.go.id/pages/berita,Konten,"Auto-dipilih (link: ""Berita"", keyword: berita) - REVIEW",,rendered,2026-08-02T06:41:13.771758+00:00
P165,W33,https://dinsosdukcapil.papua.go.id/pages/layanan-pengaduan-masyarakat,Interaksi/Kontak,"Auto-dipilih (link: ""Layanan Pengaduan Masyarakat"", keyword: pengaduan) - REVIEW",,rendered,2026-08-02T06:41:18.028169+00:00
P166,W34,https://dinsos.papuabaratprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,rendered,2026-08-02T06:41:21.931323+00:00
P167,W34,https://dinsos.papuabaratprov.go.id/pages/struktur-organisasi,Profil,"Auto-dipilih (link: ""Struktur Organisasi"", keyword: struktur) - REVIEW",,rendered,2026-08-02T06:41:31.857643+00:00
P168,W34,https://dinsos.papuabaratprov.go.id/cekstatus,Layanan,"Auto-dipilih (link: ""Cek Status Permohonan"", keyword: permohonan) - REVIEW",,rendered,2026-08-02T06:41:35.641451+00:00
P169,W34,https://dinsos.papuabaratprov.go.id/permintaaninformasi,Konten,"Auto-dipilih (link: ""Form Permintaan Informasi"", keyword: informasi) - REVIEW",,rendered,2026-08-02T06:41:39.046463+00:00
P170,W34,https://dinsos.papuabaratprov.go.id/pages/kontak,Interaksi/Kontak,"Auto-dipilih (link: ""Kontak"", keyword: kontak) - REVIEW",,rendered,2026-08-02T06:41:42.227530+00:00
