website_id,category,issue_rank,wcag_sc,page_id,page_url
W04,tangan,2,2.4.4,P019,https://dinsos.riau.go.id/berita
W04,tangan,2,2.4.4,P020,https://dinsos.riau.go.id/ppid/daftar-informasi/pengaduan-monitoring-pkh
W05,melihat,1,4.1.2,P021,https://dinsosjambipemprov.com/
W05,melihat,1,4.1.2,P022,https://dinsosjambipemprov.com/profile/
W05,melihat,1,4.1.2,P023,https://dinsosjambipemprov.com/layanan/
W05,melihat,1,4.1.2,P024,https://dinsosjambipemprov.com/berita/
W05,melihat,1,4.1.2,P025,https://dinsosjambipemprov.com/berita/#
W05,melihat,2,2.4.4,P021,https://dinsosjambipemprov.com/
W05,melihat,2,2.4.4,P022,https://dinsosjambipemprov.com/profile/
W05,melihat,2,2.4.4,P023,https://dinsosjambipemprov.com/layanan/
W05,melihat,2,2.4.4,P024,https://dinsosjambipemprov.com/berita/
W05,melihat,2,2.4.4,P025,https://dinsosjambipemprov.com/berita/#
W05,melihat,3,1.1.1,P021,https://dinsosjambipemprov.com/
W05,tangan,1,4.1.2,P021,https://dinsosjambipemprov.com/
W05,tangan,1,4.1.2,P022,https://dinsosjambipemprov.com/profile/
W05,tangan,1,4.1.2,P023,https://dinsosjambipemprov.com/layanan/
W05,tangan,1,4.1.2,P024,https://dinsosjambipemprov.com/berita/
W05,tangan,1,4.1.2,P025,https://dinsosjambipemprov.com/berita/#
W05,tangan,2,2.4.4,P021,https://dinsosjambipemprov.com/
W05,tangan,2,2.4.4,P022,https://dinsosjambipemprov.com/profile/
W05,tangan,2,2.4.4,P023,https://dinsosjambipemprov.com/layanan/
W05,tangan,2,2.4.4,P024,https://dinsosjambipemprov.com/berita/
W05,tangan,2,2.4.4,P025,https://dinsosjambipemprov.com/berita/#
W05,tangan,3,1.1.1,P021,https://dinsosjambipemprov.com/
W06,melihat,1,4.1.2,P027,https://dinsos.sumselprov.go.id/profil/struktur-organisasi
W06,melihat,1,4.1.2,P028,https://dinsos.sumselprov.go.id/layanan/rekomendasi-izin-undian-gratis
W06,melihat,1,4.1.2,P029,https://dinsos.sumselprov.go.id/berita
W06,melihat,1,4.1.2,P030,https://dinsos.sumselprov.go.id/layanan/pengaduan-masyarakat
W06,melihat,2,1.4.3,P027,https://dinsos.sumselprov.go.id/profil/struktur-organisasi
W06,melihat,2,1.4.3,P028,https://dinsos.sumselprov.go.id/layanan/rekomendasi-izin-undian-gratis
W06,melihat,2,1.4.3,P029,https://dinsos.sumselprov.go.id/berita
W06,melihat,2,1.4.3,P030,https://dinsos.sumselprov.go.id/layanan/pengaduan-masyarakat
W06,melihat,3,2.4.4,P029,https://dinsos.sumselprov.go.id/berita
W06,tangan,1,4.1.2,P027,https://dinsos.sumselprov.go.id/profil/struktur-organisasi
W06,tangan,1,4.1.2,P028,https://dinsos.sumselprov.go.id/layanan/rekomendasi-izin-undian-gratis
W06,tangan,1,4.1.2,P029,https://dinsos.sumselprov.go.id/berita
W06,tangan,1,4.1.2,P030,https://dinsos.sumselprov.go.id/layanan/pengaduan-masyarakat
W06,tangan,2,2.4.4,P029,https://dinsos.sumselprov.go.id/berita
W06,tangan,3,2.1.1,P029,https://dinsos.sumselprov.go.id/berita
W08,melihat,1,1.1.1,P038,https://lampungprov.go.id/layanan-publik
W08,melihat,2,1.4.3,P037,https://opendata.lampungprov.go.id/
W08,melihat,2,1.4.3,P038,https://lampungprov.go.id/layanan-publik
W08,melihat,3,4.1.2,P036,https://lampungprov.go.id/
W08,melihat,3,4.1.2,P037,https://opendata.lampungprov.go.id/
W08,melihat,3,4.1.2,P038,https://lampungprov.go.id/layanan-publik
W08,melihat,3,4.1.2,P040,https://lampungprov.go.id/
W08,tangan,1,4.1.2,P036,https://lampungprov.go.id/
W08,tangan,1,4.1.2,P037,https://opendata.lampungprov.go.id/
W08,tangan,1,4.1.2,P038,https://lampungprov.go.id/layanan-publik
W08,tangan,1,4.1.2,P040,https://lampungprov.go.id/
W08,tangan,2,2.4.4,P036,https://lampungprov.go.id/
W08,tangan,2,2.4.4,P037,https://opendata.lampungprov.go.id/
W08,tangan,2,2.4.4,P038,https://lampungprov.go.id/layanan-publik
W08,tangan,2,2.4.4,P040,https://lampungprov.go.id/
W08,tangan,3,1.1.1,P038,https://lampungprov.go.id/layanan-publik
W09,melihat,1,2.4.4,P041,https://drupal.dinsospmd.babelprov.go.id
W09,melihat,1,2.4.4,P042,https://drupal.dinsospmd.babelprov.go.id/bahas-realisasi-anggaran-tahun-2025-kepala-dinas-sosial-pmd-mengikuti-rapat-kerja-dengan-komisi-iv
W09,melihat,1,2.4.4,P043,https://drupal.dinsospmd.babelprov.go.id/silahturahmi-dengan-pegawai-plt-kepala-dinsospmd-ajak-pegawai-untuk-berikan-layanan-publik-yang-baik
W09,melihat,1,2.4.4,P044,https://drupal.dinsospmd.babelprov.go.id/berita
W09,melihat,2,4.1.2,P041,https://drupal.dinsospmd.babelprov.go.id
W09,melihat,2,4.1.2,P042,https://drupal.dinsospmd.babelprov.go.id/bahas-realisasi-anggaran-tahun-2025-kepala-dinas-sosial-pmd-mengikuti-rapat-kerja-dengan-komisi-iv
W09,melihat,2,4.1.2,P043,https://drupal.dinsospmd.babelprov.go.id/silahturahmi-dengan-pegawai-plt-kepala-dinsospmd-ajak-pegawai-untuk-berikan-layanan-publik-yang-baik
W09,melihat,2,4.1.2,P044,https://drupal.dinsospmd.babelprov.go.id/berita
W09,melihat,3,1.1.1,P041,https://drupal.dinsospmd.babelprov.go.id
W09,melihat,3,1.1.1,P042,https://drupal.dinsospmd.babelprov.go.id/bahas-realisasi-anggaran-tahun-2025-kepala-dinas-sosial-pmd-mengikuti-rapat-kerja-dengan-komisi-iv
W09,melihat,3,1.1.1,P043,https://drupal.dinsospmd.babelprov.go.id/silahturahmi-dengan-pegawai-plt-kepala-dinsospmd-ajak-pegawai-untuk-berikan-layanan-publik-yang-baik
W09,melihat,3,1.1.1,P044,https://drupal.dinsospmd.babelprov.go.id/berita
W09,melihat,3,1.1.1,P045,https://drupal.dinsospmd.babelprov.go.id/kanal-layanan-pengaduan
W09,tangan,1,4.1.2,P041,https://drupal.dinsospmd.babelprov.go.id
W09,tangan,1,4.1.2,P042,https://drupal.dinsospmd.babelprov.go.id/bahas-realisasi-anggaran-tahun-2025-kepala-dinas-sosial-pmd-mengikuti-rapat-kerja-dengan-komisi-iv
W09,tangan,1,4.1.2,P043,https://drupal.dinsospmd.babelprov.go.id/silahturahmi-dengan-pegawai-plt-kepala-dinsospmd-ajak-pegawai-untuk-berikan-layanan-publik-yang-baik
W09,tangan,1,4.1.2,P044,https://drupal.dinsospmd.babelprov.go.id/berita
W09,tangan,2,2.4.4,P041,https://drupal.dinsospmd.babelprov.go.id
W09,tangan,2,2.4.4,P042,https://drupal.dinsospmd.babelprov.go.id/bahas-realisasi-anggaran-tahun-2025-kepala-dinas-sosial-pmd-mengikuti-rapat-kerja-dengan-komisi-iv
W09,tangan,2,2.4.4,P043,https://drupal.dinsospmd.babelprov.go.id/silahturahmi-dengan-pegawai-plt-kepala-dinsospmd-ajak-pegawai-untuk-berikan-layanan-publik-yang-baik
W09,tangan,2,2.4.4,P044,https://drupal.dinsospmd.babelprov.go.id/berita
W09,tangan,3,1.1.1,P041,https://drupal.dinsospmd.babelprov.go.id
W09,tangan,3,1.1.1,P042,https://drupal.dinsospmd.babelprov.go.id/bahas-realisasi-anggaran-tahun-2025-kepala-dinas-sosial-pmd-mengikuti-rapat-kerja-dengan-komisi-iv
W09,tangan,3,1.1.1,P043,https://drupal.dinsospmd.babelprov.go.id/silahturahmi-dengan-pegawai-plt-kepala-dinsospmd-ajak-pegawai-untuk-berikan-layanan-publik-yang-baik
W09,tangan,3,1.1.1,P044,https://drupal.dinsospmd.babelprov.go.id/berita
W09,tangan,3,1.1.1,P045,https://drupal.dinsospmd.babelprov.go.id/kanal-layanan-pengaduan
W10,melihat,1,1.4.3,P046,https://dinsos.kepriprov.go.id/
W10,melihat,1,1.4.3,P047,https://dinsos.kepriprov.go.id/laman/tentang-kami
W10,melihat,1,1.4.3,P048,https://dinsos.kepriprov.go.id/layanan
W10,melihat,1,1.4.3,P049,https://dinsos.kepriprov.go.id/berita
W10,melihat,1,1.4.3,P050,https://dinsos.kepriprov.go.id/kontak
W10,melihat,2,4.1.2,P049,https://dinsos.kepriprov.go.id/berita
W10,melihat,2,4.1.2,P050,https://dinsos.kepriprov.go.id/kontak
W10,melihat,3,2.4.4,P049,https://dinsos.kepriprov.go.id/berita
W10,tangan,1,4.1.2,P049,https://dinsos.kepriprov.go.id/berita
W10,tangan,1,4.1.2,P050,https://dinsos.kepriprov.go.id/kontak
W10,tangan,2,2.4.4,P049,https://dinsos.kepriprov.go.id/berita
W10,tangan,3,2.1.1,P046,https://dinsos.kepriprov.go.id/
W11,melihat,1,1.1.1,P051,https://dinsos.jakarta.go.id/
W11,melihat,1,1.1.1,P055,https://dinsos.jakarta.go.id/
W11,melihat,2,4.1.2,P051,https://dinsos.jakarta.go.id/
W11,melihat,2,4.1.2,P055,https://dinsos.jakarta.go.id/
