page_id,website_id,page_url,page_type,selection_reason,http_status,render_status,tested_at
P099,W20,https://dinsos.kalbarprov.go.id/berita,Konten,"Auto-dipilih (link: ""Berita"", keyword: berita) - REVIEW",,,
P100,W20,https://dinsos.kalbarprov.go.id/hubungi-kami,Interaksi/Kontak,"Auto-dipilih (link: ""Hubungi Kami"", keyword: hubungi) - REVIEW",,,
P101,W21,https://dinsos.kalteng.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P102,W21,https://dinsos.kalteng.go.id/tentang/visi,Profil,"Auto-dipilih (link: ""Visi Dinas Sosial"", keyword: tentang) - REVIEW",,,
P103,W21,https://dinsos.kalteng.go.id/pelayanan/pmks,Layanan,"Auto-dipilih (link: ""PMKS"", keyword: layanan) - REVIEW",,,
P104,W21,https://dinsos.kalteng.go.id/kabar/kategori/artikel,Konten,"Auto-dipilih (link: ""Artikel"", keyword: artikel) - REVIEW",,,
P105,W21,https://dinsos.kalteng.go.id/kontak-kami,Interaksi/Kontak,"Auto-dipilih (link: ""Kontak"", keyword: kontak) - REVIEW",,,
P106,W22,https://dinsos.kalselprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P107,W22,https://dinsos.kalselprov.go.id/user/profil/VISI-DAN-MISI,Profil,"Auto-dipilih (link: ""VISI DAN MISI"", keyword: profil) - REVIEW",,,
P108,W22,https://dinsos.kalselprov.go.id/user/layanan/Pengangkatan-Anak,Layanan,"Auto-dipilih (link: ""Standar Pelayanan Pengangkatan Anak"", keyword: layanan) - REVIEW",,,
P109,W22,https://dinsos.kalselprov.go.id/user/berita?page=1,Konten,"Auto-dipilih (link: ""INFORMASI"", keyword: berita) - REVIEW",,,
P110,W22,https://dinsos.kalselprov.go.id/user/kontak,Interaksi/Kontak,"Auto-dipilih (link: ""KONTAK KAMI"", keyword: kontak) - REVIEW",,,
P111,W23,https://dinsos.kaltimprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P112,W23,https://dinsos.kaltimprov.go.id/profil-dinsos,Profil,"Auto-dipilih (link: ""Tentang"", keyword: profil) - REVIEW",,,
P113,W23,https://dinsos.kaltimprov.go.id/maklumat-pelayanan-2,Layanan,"Auto-dipilih (link: ""Maklumat Pelayanan"", keyword: layanan) - REVIEW",,,
P114,W23,https://dinsos.kaltimprov.go.id/berita,Konten,"Auto-dipilih (link: ""Media Center"", keyword: berita) - REVIEW",,,
P115,W23,https://dinsos.kaltimprov.go.id/kontak,Interaksi/Kontak,"Auto-dipilih (link: ""Kontak"", keyword: kontak) - REVIEW",,,
P116,W24,https://dinsos.kaltaraprov.go.id/,Homepage,"Auto-dipilih (link: ""(homepage)"", keyword: ) - REVIEW",,,
P117,W24,https://dinsos.kaltaraprov.go.id/Profil,Profil,"Auto-dipilih (link: ""Profil"", keyword: profil) - REVIEW",,,
P118,W24,https://dinsos.kaltaraprov.go.id/pelayanan-pengaduan/,Layanan,"Auto-dipilih (link: ""Layanan"", keyword: layanan) - REVIEW",,,
