website_id,page_type,candidate_url,link_text,matched_keyword
W10,Layanan,https://dinsos.kepriprov.go.id/berita/gubernur/penyerahan-bantuan-kesejahteraan-sosial-bahan-pokok-beras-dan-bantuan-pengembangan-uep,Penyerahan Bantuan Kesejahteraan Sosial Bahan Pokok Beras dan Bantuan Pengembang,bantuan
W10,Layanan,https://dinsos.kepriprov.go.id/berita/perangkat-daerah/bantuan-sosial-uang-usaha-ekonomi-produktif-uep,Bantuan Sosial Uang Usaha Ekonomi Produktif (UEP),bantuan
W10,Konten,https://dinsos.kepriprov.go.id/berita,Berita,berita
W10,Konten,https://dinsos.kepriprov.go.id/pengumuman,Pengumuman,pengumuman
W10,Konten,https://dinsos.kepriprov.go.id/agenda,Event / Agenda,agenda
W10,Interaksi/Kontak,https://dinsos.kepriprov.go.id/kontak,Kontak Kami,kontak
W11,Profil,https://dinsos.jakarta.go.id/profile,Profil Kepala Dinas,profil
W11,Profil,https://dinsos.jakarta.go.id/struktur-organisasi,Bagan Struktur Organisasi Dinas Sosial,struktur
W11,Profil,https://dinsos.jakarta.go.id/asset-frontend/file/SK KADISKOMINFO 18 Tahun 2024 Tentang DIK.pdf,Daftar Informasi Dikecualikan,tentang
W11,Layanan,https://dinsos.jakarta.go.id/asset-frontend/file/Alur-PPID.pdf,Tata Cara Permohonan Pengajuan Informasi dan Permohonan Keberatan,permohonan
W11,Layanan,https://dinsos.jakarta.go.id/layanan,Layanan,layanan
W11,Layanan,"https://dinsos.jakarta.go.id/berita/Sinergi Panti Sosial, WBS PSBL HS 3 Berikan Layanan Potong Rambut bagi Lansia PSTW BM 4","Sinergi Panti Sosial, WBS PSBL HS 3 Berikan Layanan Potong Rambut bagi Lansia PS",layanan
W11,Konten,https://dinsos.jakarta.go.id/asset-frontend/file/Alur-PPID.pdf,Tata Cara Permohonan Pengajuan Informasi dan Permohonan Keberatan,informasi
W11,Konten,https://dinsos.jakarta.go.id/asset-frontend/file/SK-DIP-2025.pdf,Daftar Informasi Publik,informasi
W11,Konten,https://dinsos.jakarta.go.id/asset-frontend/file/SK KADISKOMINFO 18 Tahun 2024 Tentang DIK.pdf,Daftar Informasi Dikecualikan,informasi
W11,Interaksi/Kontak,,TIDAK KETEMU (Selenium juga) - cek manual,
W12,Profil,https://dinsos.jabarprov.go.id/visi-misi,Visi Misi,visi
W12,Profil,https://dinsos.jabarprov.go.id/tugas-pokok-dan-fungsi-dinsos-jabar,Tupoksi & Tujuan,tupoksi
W12,Profil,https://dinsos.jabarprov.go.id/struktur-organisasi-dinsos-jabar,Struktur Organisasi,struktur
W12,Layanan,https://dinsos.jabarprov.go.id/sasaran-program-dinsos-jabar,Sasaran Program,program
W12,Layanan,https://dinsos.jabarprov.go.id/layanan-rehabilitasi-uptd-dinsos-jabar,Unit Pelaksana Teknis Daerah,layanan
